GLIMS_ID,Glacier_Name,Scenario,Start_Year,Start_Volume_km3,Start_Area_km2,End_Year,End_SMB_mwe,End_Volume_km3,End_Area_km2,Volume_Change_km3,Area_Change_km2
G006904E45335N,du Vallonnet,ssp585,2015,0.0767,1.7875,2067.0000,-2.5810,0.0000,0.0006,-0.0767,-1.7869
G006985E45951N,d'Argentiere,ssp245,2015,1.9231,13.5144,2100.0000,-2.8705,0.2520,3.1494,-1.6711,-10.3650
G006985E45951N,d'Argentiere,ssp585,2015,1.9231,13.5144,2100.0000,-3.0372,0.2241,2.9669,-1.6990,-10.5475
G006988E45515N,de la Sassiere,ssp245,2015,0.0319,1.2756,2056.0000,-2.5902,0.0000,0.0006,-0.0319,-1.2750
G006988E45515N,de la Sassiere,ssp585,2015,0.0319,1.2756,2057.0000,-2.6369,0.0000,0.0006,-0.0319,-1.2750
G006988E45987N,du Tour,ssp245,2015,0.3204,7.0225,2079.0000,-2.5897,0.0000,0.0006,-0.3204,-7.0219
G006988E45987N,du Tour,ssp585,2015,0.3204,7.0225,2079.0000,-2.3127,0.0000,0.0006,-0.3204,-7.0219
G006992E45913N,de Talefre,ssp245,2015,0.1384,5.1738,2100.0000,-2.7108,0.0000,0.0006,-0.1384,-5.1731
G006992E45913N,de Talefre,ssp585,2015,0.1384,5.1738,2100.0000,-2.9147,0.0000,0.0006,-0.1384,-5.1731
G007067E45221N,de Rochemelon,ssp245,2015,0.0537,1.2337,2067.0000,-2.8094,0.0000,0.0006,-0.0537,-1.2331
G007067E45221N,de Rochemelon,ssp585,2015,0.0537,1.2337,2066.0000,-2.9521,0.0000,0.0006,-0.0537,-1.2331
G007117E45255N,Baounet 1,ssp245,2015,,,,,,,,
G007117E45255N,Baounet 1,ssp585,2015,,,,,,,,
G007143E45363N,du Grand Mean Nord 1,ssp245,2015,0.0284,1.4869,2049.0000,-2.1001,0.0000,0.0006,-0.0284,-1.4862
G007143E45363N,du Grand Mean Nord 1,ssp585,2015,0.0284,1.4869,2049.0000,-2.4902,0.0000,0.0006,-0.0284,-1.4862
G007144E45371N,du Mulinet,ssp245,2015,0.0399,1.6462,2054.0000,-2.6217,0.0000,0.0006,-0.0399,-1.6456
G007144E45371N,du Mulinet,ssp585,2015,0.0399,1.6462,2054.0000,-2.6994,0.0000,0.0006,-0.0399,-1.6456
